"offense_category","offense_type","uncertainty_score","cost","description"
"driving under the influence of alcohol","dui offense",0.05,0.00091325,"Ill Oper Veh w/o Ig Int (BAC .025+) 2nd Off"
"traffic offense, minor","criminal traffic",0.05,0.000264,"Exceed Max Speed Lim Estb By 8 MPH"
"public order offense, other","public order",0.6,0.001162,"Non Resid Fail Comply W Re Rqrmts"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 35 MPH In Urban Dist By 17 MPH"
"forgery/fraud, attempted","property",0.1,0.000396,"Criminal Attempt Theft By Deception-Fail To Correct"
"public order offense, other","public order",0.15,0.00052075,"Transient Retail Merchant - License Required"
"public order offense, other","public order",0.2,0.000521,"Fail to Post a Sign as Required"
"driving under the influence of alcohol","dui offense",0.07,0.00091325,"Ill Oper Veh w/o Ig Int (BAC .025+) 3rd Off"
"other property offense","property",0.3,0.00064275,"Fail To Report Recovered Auto"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 36 MPH"
"public order offense, other","public order",0.12,0.00052175,"Fail Lic A Dog Over 3 Months of Age"
"public order offense, other","public order",0.2,0.000264,"Unlicensed Dogs"
"traffic offense, minor","criminal traffic",0.25,0.00052,"Exceed 35 MPH In Urban Dist 22 MPH"
"traffic offense, minor","criminal traffic",0.4,0.00051925,"Req'd Financial Resp/Consent To Produce"
"driving under the influence of drugs","dui offense",0.05,0.0004025,"DUI: Controlled Substance - Schedule 2 or 3 - 4th and Subsequent Offense"
"driving under the influence of drugs","dui offense",0.05,0.00040175,"DUI: Controlled Substance - Metabolite - 4th and Subsequent Offense"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 40 MPH"
"bribery/conflict of interest","public order",0.35,0.00090975,"Corrupt Org-Int/Control In Enterp"
"forgery/fraud","property",0.35,0.00077725,"Use device to record, read, obtain, etc. encoded information on a device"
"attempted murder","violent",0.05,0.00038775,"Criminal Attempt First Degree Murder Of Unborn Child"
"liquor law violation","public order",0.2,0.00039275,"Restriction On Alcoholic Beverages"
"other drug offense","drug",0.7,0.00089925,"Contraband/Non-Controlled Substan"
"public order offense, other","public order",0.1,0.000393,"Use Of Tobacco In Schools Prohibited"
"traffic offense, minor","criminal traffic",0.1,0.00052025,"Exceed 55 MPH In Other Loc By 50 MPH"
"commercialized vice","public order",0.25,0.00051775,"Criminal Solicitation Prom Pros-Procure Patron"
"commercialized vice, conspiracy","public order",0.4,0.00052125,"Conspiracy Prom Pros-Procure Patron"
"forgery/fraud","property",0.15,0.00052075,"Knowingly by trick/fraud/manipulation win or reduce a loss"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Traffic And Pedestrian - Control Signals"
"traffic offense, minor","criminal traffic",0.1,0.000393,"Exceed 65 OR 70 MPH For All Vehicles By 10 MPH"
"forgery/fraud","property",0.05,0.00052175,"Unlawful to Take/Claim/Manipulate w/intent to Defraud/Cheat"
"possession/use of marijuana, attempted","drug",0.05,0.0003955,"Criminal Attempt Marijuana-Small Amt Personal Use"
"criminal trespass","property",0.12,0.00051575,"Agricultural Trespasser When Ordered Not To Enter"
"burglary","property",0,0.000258,"Burglary"
"driving under the influence of drugs, attempted","dui offense",0.05,0.0004055,"Criminal Attempt DUI: Controlled Substance - Impaired Ability - 1st Offense"
"assault of an officer","violent",0.1,0.0003905,"Assault On Sports Official"
"child molestation, conspiracy","violent",0.15,0.00077675,"Criminal Solicitation Unlawful Contact With Minor - Sexual Offenses"
"child molestation","violent",0.2,0.000771,"Criminal Solicitation Child Pornography"
"aggravated assault","violent",0.1,0.0003905,"Aggravated Assault - Attempts to cause or causes BI - School"
"rape","violent",0.1,0.0006395,"Rape Person Less Than 13 Years Old"
"statutory rape","violent",0.1,0.00090175,"IDSI Person Less Than 13 Yrs Age"
"child molestation","violent",0.15,0.00102775,"Produce/Present/Direct Obscene Performance - Minor"
"traffic offense, minor","criminal traffic",0.05,0.000393,"Exceed 65 OR 70 MPH For All Vehicles By 6 MPH"
"simple assault, attempted","violent",0.05,0.0003885,"Criminal Attempt Simple Assault"
"violent offense other, attempted","violent",0.2,0.00051875,"Criminal Attempt Aiding Suicide"
"liquor law violation","public order",0.05,0.00039325,"Transp Of Malt Or Brewed Beverage"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 15 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed 25 MPH Residence Dist By 11 MPH"
"possession/use of marijuana","drug",0.05,0.000263,"Personal Use of Small Amount of Marijuana"
"disorderly conduct offense, conspiracy","public order",0.15,0.000399,"Criminal Conspiracy Engaging Disorderly Conduct Hazardous/Physi Off"
"disorderly conduct offense, attempted","public order",0.2,0.00039825,"Criminal Attempt Disorderly Conduct Hazardous/Physi Off"
"traffic offense, minor","criminal traffic",0.25,0.0005205,"Permitting violation of title Improp Use Of Learner's Permit"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 35 MPH In Urban Dist By 18 MPH"
"traffic offense, minor","criminal traffic",0.6,0.0005185,"Fail To Display Cert Inspect"
"other property offense","property",0.2,0.000516,"Unlawfl To Leave Keys In Unattended Vehicle"
"traffic offense, minor","criminal traffic",0.05,0.00051825,"Make Prohib Turn"
"public order offense, other","public order",0.8,0.00026475,"Parks and Recreation Violation"
"traffic offense, minor","criminal traffic",0.05,0.000776,"No Vehicle in any Parks Except Between Sunrise and Curfew"
"driving under the influence of alcohol","dui offense",0.05,0.000785,"Permitting violation of title Driving While BAC .02 or Greater While License Susp"
"disorderly conduct offense, conspiracy","public order",0.05,0.00052625,"Criminal Conspiracy Engaging Disorderly Conduct-Unreasonable Noise"
"disorderly conduct offense","public order",0.05,0.000393,"Disorderly Conduct / Grading"
"violent offense, other","violent",0.6,0.00090125,"Dog Bites/Confine and Isolation"
"weapons offense, conspiracy","violent",0.12,0.00064875,"Conspiracy Posses Firearm W/Manufacturer Number Altered, Etc"
"contributing to the delinquency of a minor, conspiracy","public order",0.2,0.000918,"Criminal Conspiracy Engaging Corruption Of Minors"
"child molestation","violent",0.05,0.00038875,"Aggrav Indec Asslt/Person Less 13 Yrs Age"
"child molestation","violent",0.05,0.0009005,"Photograph/Film/Depict On Computer Sex Act-Child"
"offense against morals/decency","public order",0.05,0.00090875,"Possession of Child Pornography"
"offense against morals/decency","public order",0.15,0.00078125,"Produce\Present\Direct Obscene Perf"
"not known/missing","not known/missing",1,0.000394,"Unknown Statute"
"bribery/conflict of interest","public order",0.05,0.00052525,"Bribery - Pecuniary Benefit"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 33 MPH"
"murder","violent",0,0.00025675,"Murder Of The Third Degree"
"not known/missing","not known/missing",0.95,0.00103425,"Conspiracy Conspiracy"
"voluntary manslaughter","violent",0.05,0.00026325,"Voluntary Mans - Unreasonable Belief"
"disorderly conduct offense","public order",0.2,0.0005235,"UNLAWFUL TO LOITER/PROWL MALICIOUSLY IN PUB PLACE"
"liquor law violation","public order",0.1,0.000395,"UNLAWFL TO TRANS/POSSESS OPEN CONTAINER ALCOHOL"
"driving under the influence of drugs","dui offense",0.05,0.0004015,"DUI Controlled Substance - Metabolite - 4th and Subsequent Offense"
"weapons offense","public order",0.15,0.0009025,"Person Not To Possess/Use Firearms - Delinquent"
"probation violation","public order",0.2,0.00102975,"Fail to Comply with Counseling - Another Jurisdiction"
"not known/missing","not known/missing",1,0.000394,"Provide Accurate Information"
"traffic offense, minor","criminal traffic",0.15,0.000648,"Exceed 55 In Other Loc By 56 MPH"
"drug paraphernalia","drug",0.05,0.00038975,"Use or Intent to Use Drug Paraphernalia"
"murder","violent",0,0.00025575,"Murder"
"other drug offense","drug",0.35,0.00077325,"LOITER/PROWL IN  PUBLIC W INTENT; CONTROLLED SUBST"
"armed robbery, conspiracy","violent",0.05,0.000519,"Criminal Conspiracy Engaging Robbery-Inflict Serious Bodily Injury"
"child molestation","violent",0.05,0.000516,"Unlawful Contact With Minor - Open Lewdness"
"disorderly conduct offense","public order",0.05,0.00026425,"Noise Disturbance"
"theft, value unknown, conspiracy","property",0.35,0.00065125,"Conspiracy Retail Theft-Under-Ring"
"aggravated assault, attempted","violent",0.1,0.0003935,"Criminal Attempt Aggravated assault by vehicle"
"forgery/fraud, conspiracy","property",0.05,0.00039575,"Conspiracy Buying/Exchanging Federal Food Stamps"
"weapons offense","public order",0.25,0.00077275,"Firearm Discharge Prohibited"
"offense against morals/decency","public order",0.15,0.000653,"Public Urination Or Defecation"
"weapons offense","violent",0.05,0.0006435,"Person Not To Possess Use Etc Firearm"
"liquor law violation","public order",0.05,0.00065,"Unlic Cons Malt/Brewed Bev On Premises"
"traffic offense, minor","criminal traffic",0.15,0.00039175,"Improp Movement Pedistrian (Yellow Light)"
"not known/missing","not known/missing",0.9,0.0009065,"Criminal Attempt Conspiracy"
"weapons offense","public order",0.7,0.0009025,"Duty of Seller - Obtained a Completed Application or Record of Sale"
"offense against morals/decency","public order",0.8,0.00103725,"Rig Pub Ex - Temper Amim Thing"
"public order offense, other","public order",0.2,0.0005215,"Transient Retial Business/Permit- License Required"
"theft, value unknown, conspiracy","property",0.25,0.00065225,"Criminal Conspiracy Aiding Retail Theft-Under-Ring"
"driving under the influence of drugs","dui offense",0,0.0004015,"DUI: Controlled Substance or Metabolite 4th and Subsequent Offense"
"statutory rape, attempted","violent",0.05,0.00052325,"Criminal Attempt Statutory Sexual Assault:  8-11 Years Older"
"statutory rape, attempted","violent",0.2,0.0009075,"Criminal Solicitation Statutory Sexual Assault:  8-11 Years Older"
"not known/missing","not known/missing",1,0.000394,"Prohibited Acts"
"child abuse","public order",0.25,0.000643,"Leaving Child Unattended In Vehicle"
"attempted murder","violent",0,0.00025825,"Criminal Attempt Murder"
"weapons offense","public order",0.3,0.0009005,"Discharge of Guns Restricted"
"disorderly conduct offense","public order",0.12,0.00039575,"PROHBTD CONDCT; UNREASONABLE NOISE/LEWD LANGUAGE"
"theft, value unknown, conspiracy","property",0.2,0.00052425,"Conspiracy Theft By Decept-Prevent Acqu Of Info"
"not known/missing","not known/missing",1,0.00052275,"Adult/Muti/Dest Label"
"child molestation, conspiracy","violent",0.25,0.00116125,"Criminal Solicitation Agg. Ind. Assault - Comp. Less Than 16"
"child molestation","violent",0.25,0.00102875,"Criminal Solicitation Ind Asslt Person Less 16 Yrs Age"
"child molestation, attempted","violent",0.25,0.0009035,"Criminal Attempt Diss Explicit Sex Mat'l Minor"
"arson","violent",0.15,0.00076975,"Aggravated Arson - Person Present Inside Property"
"weapons offense","public order",0.05,0.0006455,"Person Not To Possess Use Etc Firearms"
"child molestation, attempted","violent",0.25,0.0009045,"Criminal Attempt Ind Asslt Person Less 16 Yrs Age"
"theft, value unknown","property",0.15,0.00051925,"Retail Theft-Trans Mdse Fr Cont"
"driving under the influence of alcohol","dui offense",0.05,0.00065675,"Operating Watercraft With Highest Rate of Alcohol - 2nd Offense"
"driving under the influence of alcohol","dui offense",0.05,0.00052875,"Operating Watercraft With High Rate of Alcohol - 2nd Offense"
"flight to avoid prosecution","criminal traffic",0.15,0.00064775,"Flees in an attempt to evade a Police Officer"
"not known/missing","not known/missing",0,0.0003945,"PARK OPERATING POLICY"
"traffic offense, minor","criminal traffic",0.7,0.0009025,"Failure To Control/Duty"
"liquor law violation","public order",0.05,0.000265,"POSSESSION OF AN OPEN CONTAINER"
"voluntary manslaughter","violent",0,0.00039125,"Voluntary Mans - Provocation From Other"
"disorderly conduct offense","public order",0.05,0.00039275,"PUBLIC URINATION OR DEFICATION"
"distribution, drug unspecified, conspiracy","drug",0.15,0.000521,"Conspiracy Contraband/Controlled Substance"
"weapons offense","public order",0.05,0.00038975,"Unlawful to Fire any Weapon within City Limits"
"driving under the influence of drugs","dui offense",0.05,0.000529,"DUI: Solvent or Nox Substance - 2nd Offense"
"kidnapping","violent",0.05,0.000388,"Kidnapping of Minor - Inflict Bodily Injury"
"riot","public order",0.1,0.00064225,"Riot-Intent To Prev/Coerce Off'l Act"
"offense against morals/decency, attempted","public order",0.45,0.00091725,"Criminal Attempt Photograph/Film/Depict on Computer Sex Act - Knowingly Depicts on Computer, Photo, etc"
"kidnapping","violent",0.05,0.00038825,"Kidnapping of Minor - Interfere with Public Official"
"obstruction/resisting","public order",0.2,0.0007745,"FALSE POLICE REPORTS"
"liquor law violation","public order",0.1,0.00052275,"Unlawfl Consume/Poss Open Cont Alcohl On Priv Prop"
"commercialized vice","public order",0.45,0.00102925,"Patronizing An Unlicensed Establishment"
"disorderly conduct offense","public order",0.05,0.00039275,"Noise Disturbance Prohibited"
"drug paraphernalia, attempted","drug",0.05,0.00039375,"Criminal Attempt Use/Poss Of Drug Paraph"
"criminal trespass","property",0.1,0.0003875,"No One To Enter Closed To The Public Area"
"possession/use of marijuana, conspiracy","drug",0.05,0.0002665,"Conspiracy Poss Of Marijuana"
"flight to avoid prosecution","public order",0.2,0.001159,"Fleeing to Evade Police"
"other property offense","property",0.1,0.00038725,"Unlawful Use Recording Device In Theater"
"extortion/threat","violent",0.2,0.000518,"Theft Extort-Inflict Harm Not Benefit Actor"
"arson","property",0.05,0.000389,"Reckless Burning or Exploding - places uninhabited or unoccupied structure in danger of damage or de"
"public order offense, other","public order",0.12,0.000394,"Owner Of Animal To Keep It Leashed At All Times"
"weapons offense","public order",0.2,0.0009025,"Person Not To Possess/Use Firearms - Pfa Party"
"burglary, conspiracy","property",0.05,0.00052,"Conspiracy Burglary - Overnight Accommodation, Person Present"
"possession/use, drug unspecified, attempted","drug",0.64,0.00155025,"Purc/Rec Of Cont Substby Unauth Per"
"not known/missing","not known/missing",0.05,0.00052225,"Occupational Limited License"
"destruction of property","property",0.7,0.00077375,"Create Hazardous/Physical Offense For No Purpose"
"driving while intoxicated, attempted","dui offense",0.05,0.00078725,"Criminal Attempt DUI: High Rte of Alc (Bac.10 - <.16) 1st Off"
"simple assault, conspiracy","violent",0.2,0.00064475,"Criminal Solicitation Simple Assault"
"other drug offense","drug",0.12,0.0009005,"Poss Red Phos, etc w/ Intent to Manu Cont Subs"
"possession/use of other controlled substance","drug",0.05,0.00052275,"Knowingly possess ephedrine"
"other drug offense, conspiracy","drug",0.1,0.000777,"Conspiracy Poss Red Phos, etc w/ Intent to Manu Cont Subs"
"distribution of amphetamines, conspiracy","drug",0.2,0.000779,"Conspiracy Operating a methamphetamine lab"
"possession of amphetamines, conspiracy","drug",0.05,0.00065325,"Conspiracy Knowingly possess ephedrine"
"other property offense, conspiracy","property",0.15,0.000776,"Conspiracy Deposits, stores, disposes chemical waste"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 55 MPH In Other Location By 100 MPH"
"armed robbery, conspiracy","violent",0.45,0.00090175,"Conspiracy Robbery - demand money from financial institution"
"family or custody related offense","public order",0.25,0.000649,"Interfer Custody Committed Person"
"drug paraphernalia, conspiracy","drug",0.1,0.0005215,"Conspiracy Deliver/Intent To Del Drug Para"
"sale of stolen property","property",0.12,0.00090175,"Owning, Operating or Conducting a Chop Shop"
"traffic offense, minor","criminal traffic",0.2,0.0009035,"Display Foreign Lic During Suspen/Revocation"
"theft, value unknown, conspiracy","property",0.25,0.00065175,"Conspiracy Retail Theft Destroy, Etc Inventory Control Tag"
"public order offense, other","public order",0.05,0.000392,"LITTERING"
"commercialized vice","public order",0.25,0.0006465,"PATRONIZING AN UNLICENSED ESTABLISHMENT"
"not known/missing","not known/missing",0.05,0.0003945,"Radon/Certification Required"
"grand theft (>$500)","property",0.25,0.00064825,"Organized retail theft"
"public order offense, other","public order",0.3,0.0010325,"Cruelty To Animals"
"disorderly conduct offense","public order",0.05,0.00026525,"Loud,Dist,Unnecessary Noise"
"weapons offense","public order",0.15,0.000517,"Carry Firearms Public In Phila"
"traffic offense, minor","criminal traffic",0.05,0.000393,"Exceed 65 OR 70 MPH For All Vehicles By 18 MPH"
"public order offense, other, conspiracy","public order",0.35,0.0009105,"Conspiracy False Reports - Reported Offense Did Not Occur"
"traffic offense, minor","criminal traffic",0.1,0.00039225,"Exceed 25 MPH Residence Dist. By 1 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 35 MPH In Urban Dist By 19 MPH"
"traffic offense, minor","criminal traffic",0,0.0002625,"Disregard Traffic Devices"
"aggravated assault, conspiracy","violent",0.05,0.00026475,"Conspiracy Aggravated Assault"
"involuntary manslaughter, conspiracy","drug",0.35,0.00116525,"Conspiracy Drug Delivery Resulting In Death"
"liquor law violation","public order",0.25,0.00077975,"PROHIBITED CONDUCT OWNR; MINOR IN ESTAB PAST CURFEW"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed 35 MPH In Urban Dist 35 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00026475,"Trucks Over 10,000 Lbs Prohibited In Left Lane"
"traffic offense, minor","criminal traffic",0.8,0.000648,"Period Of Revoc/Suspension Of Operating Privilege"
"weapons offense","public order",0.12,0.000774,"Loans On, Or Lending, Giving Firearms Prohibited"
"traffic offense, minor","criminal traffic",0.1,0.00039125,"Improp Use Of Learner's Permit"
"drug paraphernalia","drug",0.05,0.0003905,"No Person Shall Possess, Sell Any Drug Paraphernalia"
"weapons offense, conspiracy","violent",0.05,0.0003915,"Conspiracy Possess Explosive/Incen Material"
"violent offense other, conspiracy","violent",0.3,0.000903,"Conspiracy Risking Catastrophe"
"obstruction/resisting","public order",0.35,0.0010315,"Refuse To Move-Maintain Pub Saf"
"liquor law violation","public order",0.1,0.00039325,"Illegal for Minor to Consume Unregulated Alcohol"
"obstruction/resisting","public order",0.05,0.0005195,"Obstruct/Impede Justice-Picketing"
"public order offense, other","public order",0.2,0.000649,"False Swearing - Offic Proceed"
"traffic offense, minor","criminal traffic",0.12,0.000904,"Exceed 35 MPH In Urban Dist 29 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 17 MPH"
"forgery/fraud","property",0.15,0.00051925,"Trademark Counterfeiting - Offers for Sale"
"traffic offense, minor","criminal traffic",0.05,0.00039025,"No Rearview Mirror"
"traffic offense, minor","criminal traffic",0.6,0.00039,"No Audible Device"
"weapons offense, conspiracy","violent",0.1,0.0003915,"Conspiracy Possession Of Firearm By Minor"
"kidnapping, conspiracy","violent",0.05,0.0006485,"Conspiracy Unlawful Restraint/ Serious Bodily Injury"
"obstruction/resisting, conspiracy","public order",0.05,0.00065275,"Conspiracy Hinder App/Prosec-Harbor Or Conceal"
"offense against morals/decency","public order",0.1,0.00065225,"Tattooing Minor"
"forgery/fraud","property",0.75,0.0005185,"Counter Simulat Mark Stamp"
"fraudulent drug offense, attempted","drug",0.2,0.0006525,"Criminal Attempt Sell Noncont Subs - Similar To Cont Subst"
"destruction of property","property",0.4,0.000645,"Fail To Control/Rpt Dangerous Fire"
"public order offense, other","public order",0.4,0.00064975,"Unlawful Acts/Not Licensed As Pharmacist"
"not known/missing","not known/missing",0.85,0.000779,"Aiding Consummation Of Crime"
"fraudulent drug offense","drug",0.6,0.00090375,"Place Mark Cont Subs W/Int To Defraud"
"burglary, conspiracy","property",0.2,0.0009045,"Criminal Solicitation Burglary - Overnight Accommodation, Person Present"
"other property offense","property",0.75,0.000642,"Transfer Of Registration"
"not known/missing","not known/missing",0.05,0.00077975,"Learner accompanied - supervising driver licensed in vehicle class"
"criminal trespass","property",0.3,0.00051525,"Violation Of Rules On Cmwlth Property"
"burglary, attempted","property",0.05,0.00039225,"Criminal Attempt Burglary - Overnight Accommodation, Person Present"
"distribution of amphetamines","drug",0.2,0.00090325,"Manufacture of Methamphetamine - Child Present"
"obstruction/resisting","public order",0.15,0.0005195,"False Identification To Law Enf. Off."
"destruction of property","property",0.05,0.00038925,"Intentional Desecration Of Public Monument"
"criminal trespass, conspiracy","property",0.6,0.0005185,"Conspiracy Def Tres Posted"
"destruction of property, conspiracy","property",0.45,0.0005215,"Conspiracy Institut'l Vand'ism Cemetery Etc"
"destruction of property","property",0.6,0.000389,"Institut'l Vand'ism Cemetery Etc"
"destruction of property, conspiracy","property",0.6,0.000777,"Conspiracy Historic Lots and Burial Places"
"not known/missing","not known/missing",0.9,0.0003945,"Historic Lots and Burial Places"
"destruction of property, conspiracy","property",0.05,0.00039375,"Conspiracy Intentional Desecration Of Public Monument"
"traffic offense, minor","criminal traffic",0.1,0.00039225,"Exceed 35 MPH In Urban Dist By 15 MPH"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"No Foot Rest On Motorcycle"
"traffic offense, minor","criminal traffic",0.05,0.0002625,"Signal Improp Right Turn"
"violent offense other, conspiracy","violent",0.25,0.000776,"Conspiracy Propulsion Of Missiles Onto Roadways"
"weapons offense","public order",0.2,0.00090225,"Unlawful discharge of paintball gun or paintball marker"
"conspiracy to commit murder","violent",0.1,0.000647,"Conspiracy Propel Missile Into Occ Vehicles"
"other property offense","property",0.75,0.0008995,"Television Equip. Improp. Placed"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 75 MPH"
"liquor law violation","public order",0.05,0.00039175,"Open Container"
"forgery/fraud","property",0.1,0.0003905,"Workmans Compensation Insurance Fraud"
"destruction of property, conspiracy","property",0.45,0.00116375,"Criminal Solicitation Computer Trespass - Remove Data"
"theft, value unknown, conspiracy","property",0.25,0.00052275,"Criminal Solicitation Computer Theft"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 65 MPH For All Vehicles By 26 MPH"
"other property offense","property",0.7,0.0005145,"Garbage/Refuse"
"liquor law violation","public order",0.1,0.000393,"Chemical Testing Determine Alcohol In Minors"
"forgery/fraud, attempted","property",0.05,0.0003945,"Criminal Attempt Insurance Fraud"
"burglary, conspiracy","property",0.1,0.00064875,"Criminal Solicitation Burglary - Overnight Accommodation, No Person Present"
"possession/use, drug unspecified, conspiracy","drug",0.15,0.000398,"Conspiracy Possess Control Subs, Contraband/Inmate"
"public order offense, other","public order",0.4,0.00064975,"Unlicensed Sale: Operate Or Be Employed"
"possession/use, drug unspecified, conspiracy","drug",0.25,0.00065425,"Conspiracy Acq Or Obt Poss Of Contr Subs Misre"
"not known/missing","not known/missing",1,0.00039425,"Migrated Statute"
"extortion/threat","violent",0.15,0.00077425,"Criminal Solicitation Retaliation Against Witness or Victim"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 65 MPH For All Vehicles By 16 MPH"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Obedience to Authorized Persons Directing Traffic"
"other property offense, conspiracy","property",0.6,0.00103325,"Conspiracy Unlaw. Use of Computer - Access to Disrupt Funct."
"weapons offense","public order",0.15,0.0009025,"Carry/Disch Air Rif Hwy/Pub Land/Pub Plac"
"theft, value unknown, attempted","property",0.1,0.00052425,"Criminal Attempt Theft By Unlaw Taking-Immovable Prop"
"liquor law violation","public order",0.05,0.00039325,"POSSESSION OF OPEN CONTAINER IN PUBLIC"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 25 MPH Residence Dist. By 50 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 25 MPH Residence Dist. By 14 MPH"
"traffic offense, minor","criminal traffic",0.15,0.0006485,"Obscured Plates - Inhibit Operation of Red Light Enforcement System"
"not known/missing","not known/missing",0.9,0.00039425,"Penalty For Violation"
"burglary","property",0.05,0.00051625,"Burglary-Bldg W/O Overnight Accom."
"burglary, conspiracy","property",0.12,0.00026475,"Conspiracy Burglary-Bldg W/O Overnight Accom."
"traffic offense, minor","criminal traffic",0.05,0.000393,"Exceed 65 OR 70 MPH For All Vehicles By 35 MPH"
"arson, conspiracy","violent",0.05,0.00064625,"Conspiracy Arson-Danger Of Death Or Bodily Inj"
"sale of stolen property","property",0.3,0.0006455,"Dealing In Official Traffic Control Devices, Etc"
"not known/missing","not known/missing",0.9,0.0002665,"Classes Of License/Class M"
"offense against morals/decency","public order",0.05,0.00052475,"Sell Obscene/Sexual Materials"
"traffic offense, minor","criminal traffic",0.05,0.00064675,"Proof Of Financial Resp Following Accident"
"flight to avoid prosecution, conspiracy","public order",0.05,0.00065225,"Conspiracy Flight To Avoid Appreh/Trial/Punish"
"kidnapping, conspiracy","violent",0.05,0.00039275,"Conspiracy Kidnapping of Minor - Facilitate Felony/Flight"
"offense against morals/decency","public order",0.2,0.00065275,"Design Obscene/Sexual Materials"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 46 MPH"
"sale of stolen property","property",0.1,0.00052,"Transports, Sells, Transfers, Purchases, etc Illegally obtained from chop shop"
"traffic offense, minor","criminal traffic",0.05,0.000519,"Disregard Flashing Red Signal"
"traffic offense, minor","criminal traffic",0.9,0.000518,"Head Lamp Requirements"
"distribution, drug unspecified, conspiracy","drug",0.35,0.0006495,"Criminal Solicitation Contraband/Controlled Substance"
"extortion/threat","violent",0.25,0.00103025,"Criminal Attempt Theft Extort-Threat To Accuse Another"
"extortion/threat, attempted","violent",0.35,0.0007785,"Criminal Attempt Theft Extort-Inflict Harm Not Benefit Actor"
"burglary, attempted","property",0,0.00026275,"Criminal Attempt Burglary"
"disorderly conduct offense, attempted","public order",0.6,0.0011655,"Criminal Attempt Illegal To Taunt Police Animal"
"violent offense, other","violent",0.15,0.00038875,"Illegal To Torture Police Animal"
"sale of stolen property","property",0.15,0.00064625,"Disposition of Vehicle or Vehicle Part With Altered Vehicle Identification Number"
"public order offense, other","public order",0.05,0.000392,"PAN HANDLING"
"burglary, attempted","property",0.05,0.00039325,"Criminal Attempt Burglary - Not Adapted for Overnight Accommodation, Person Present"
"fraudulent drug offense","drug",0.1,0.0003915,"Procure For Self/Other Drug By Fraud"
"aggravated assault, attempted","violent",0.05,0.000393,"Criminal Attempt Aggravated Assault"
"not known/missing","not known/missing",1,0.00026625,"Penalty - Felony"
"conspiracy to commit murder","violent",0.15,0.00103225,"Criminal Attempt Attempt, Solicitation, Conspir Commit Murder"
"obstruction/resisting, conspiracy","public order",0.35,0.00103525,"Conspiracy False Identification To Law Enforcement Officer"
"traffic offense, minor","criminal traffic",0.05,0.00039325,"Unlawful Oper. Snow/Atv - Turn W/Out Signaling"
"disorderly conduct offense","public order",0.1,0.000393,"SPITTING IN PUBLIC PLACES"
"forgery/fraud","property",0.15,0.00052025,"Procure/Attempt to Procure License, Permit, Certificate"
"theft, value unknown, conspiracy","property",0.25,0.0011635,"Criminal Solicitation Theft From A Motor Vehicle"
"traffic offense, minor","criminal traffic",0.05,0.000776,"Exceed Max Speed Lim Estb By 55 MPH"
"traffic offense, minor","criminal traffic",0.3,0.0006475,"Compliance W/Exhaust Rqrmts"
"kidnapping, conspiracy","violent",0.05,0.00026375,"Conspiracy Kidnap To Inflict Inj/Terror"
"kidnapping, conspiracy","violent",0.15,0.000519,"Conspiracy False Imprisonment"
"weapons offense, conspiracy","violent",0.35,0.0007755,"Conspiracy Crime Committed W/Firearm"
"child molestation, attempted","violent",0.1,0.0010345,"Criminal Solicitation Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child"
"statutory rape, attempted","violent",0.1,0.00039475,"Criminal Attempt Statutory Sexual Assault:  11 Years Older"
"contributing to the delinquency of a minor, attempted","public order",0.1,0.001047,"Criminal Attempt Corruption Of Minors - Defendant Age 18 or Above"
"financial crimes","property",0.6,0.00076875,"Engage In Debt Pooling"
"traffic offense, minor","criminal traffic",0,0.0003905,"park in handicapped zone"
"traffic offense, minor","criminal traffic",0.05,0.000519,"Vehicle Parked with Expired Inspection"
"offense against morals/decency","public order",0.2,0.0011655,"Dissem Photo/Film Of Child Sex Acts"
"burglary, conspiracy","property",0,0.0002625,"Conspiracy Burglary"
"disorderly conduct offense","public order",0.1,0.000393,"Disorderly Conduct Towards Police Officer"
