"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"public order offense, other","public order","community","community safety",0.4,"occured",0.3,"Violation of the Disease Prevention and Control Act of 1955"
"driving under the influence of alcohol","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Gen Imp (BAC .08 - .10) 1st Off"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 55 MPH In Other Loc By 17 MPH"
"other drug offense","drug","individual","physical",0.8,"occured",0.2,"Smell/Inhale Toxic Releasing Substances"
"theft, value unknown, attempted","property","individual","financial or economic",0.7,"attempted",0.15,"Criminal Attempt Theft By Decep-False Impression"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.15,"Fail To Carry Regist"
"driving under the influence of drugs","dui offense","community","community safety",0.75,"occured",0.05,"DUI: Controlled Substance - Combination Alcohol/Drug - 2nd Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.2,"Opening Door Unsafely"
"public order offense, other","public order","institutional","community safety",0.2,"occured",0.2,"Fail to Provide Accurate Registration Info"
"commercialized vice","public order","community","community safety",0.7,"occured",0.2,"Prom Pros-Prostitution"
"destruction of property","property","individual","financial or economic",0.7,"occured",0.2,"Unlaw. Use of Comp.  - Access/Interfere/Dam./Dest."
"violent offense, other","violent","individual","emotional or psychological",0.85,"occured",0.05,"Stalking - Repeatedly Comm. To Cause Fear"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.3,"Criminal Conspiracy Engaging Theft By Unlaw Taking-Movable Prop"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Driving Unregistered Vehicle"
"aggravated assault","violent","individual","physical",1,"occured",0.05,"Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"drug paraphernalia","drug","community","community safety",0.3,"occured",0.1,"Deliver/Intent To Del Drug Para"
"violent offense, other","violent","individual","emotional or psychological",0.7,"occured",0.15,"Aggravated Harassment By Prisoner"
"weapons offense","public order","community","community safety",0.4,"occured",0.1,"Possession Of Weapon"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Agg. Ind. Assault of Child"
"offense against morals/decency","public order","individual","emotional or psychological",0.85,"occured",0.2,"Corruption Of Minors"
"child molestation","violent","individual","emotional or psychological",1,"occured",0,"Indecent Assault Person Less than 13 Years of Age"
"armed robbery","violent","individual","physical",1,"occured",0.05,"Robbery-Take Property Fr Other/Force"
"theft, value unknown","property","individual","financial or economic",0.4,"occured",0.2,"Theft Property Lost Etc By Mistake"
"obstruction/resisting","public order","community","community safety",0.4,"occured",0.2,"Obstruction"
"child molestation","violent","individual","physical",1,"occured",0,"Invol. Deviate Sexual Intercourse W/Child"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Retail Theft-Take Mdse"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Criminal Conspiracy Engaging Theft By Unlaw Taking-Immovable Prop"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Theft By Unlaw Taking-Immovable Prop"
"public order offense, other","public order","community","community safety",0.2,"occured",0.2,"Dogs Not Validly Registered Under Act"
"other court offense","public order","societal","community safety",0.2,"occured",0.7,"Failure to comply with Sections 503-A or 503-4"
"public order offense, other","public order","community","community safety",0.1,"occured",0.5,"Application Dog License/Fees, Penalties"
"not known/missing","not known/missing","individual","community safety",0,"occured",0.9,"Vaccination against Rabies Required - 4 to 12 weeks old"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"Evidence Of Emission Inspection"
"other court offense","public order","community","community safety",0.2,"occured",0.4,"Surrender Regis Plates/Cards On Susp."
"invasion of privacy","public order","individual","emotional or psychological",0.8,"occured",0.1,"Unlawful Dissemination of Intimate Image"
"drug paraphernalia, conspiracy","drug","community","community safety",0.3,"conspiracy",0.15,"Conspiracy Use/Poss Of Drug Paraph"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Unsafe Movement/Pass on Right"
"weapons offense","public order","community","community safety",0.6,"occured",0.1,"Posses Firearm W/Manufacturer Number Altered, Etc"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Aggravated Assault - Attempts to cause or causes BI to designated individuals"
"destruction of property","property","institutional","financial or economic",0.65,"occured",0.1,"Institut'l Vand'ism Educ Facil"
"other property offense","property","individual","privacy",0.6,"occured",0.35,"Unlaw. Use of Comp. - Provide Password/Pin/Other"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improp Display Plate"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Fail To Keep Right"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 55 MPH In Other Loc By 18 MPH"
"family or custody related offense","public order","individual","emotional or psychological",0.8,"occured",0.1,"Interference W/Custody Of Children"
"aggravated assault, conspiracy","violent","individual","physical",0.9,"conspiracy",0.1,"Criminal Conspiracy Engaging Aggravated Assault - Attempts to cause or causes BI with deadly weapon"
"rape","violent","individual","physical",1,"occured",0.1,"IDSI Forcible Compulsion"
"rape, attempted","violent","individual","emotional or psychological",0.9,"attempted",0.1,"Criminal Attempt Rape Threat Of Forcible Compulsion"
"sexual assault","violent","individual","emotional or psychological",1,"occured",0,"Sexual Assault"
"aggravated assault","violent","individual","physical",0.9,"occured",0.1,"Agg. Ind. Assault W/O Consent"
"public order offense, other","public order","community","community safety",0.1,"occured",0.4,"Regist Card Not Signed"
"rape, attempted","violent","individual","emotional or psychological",0.95,"attempted",0.1,"Rape Threat Of Forcible Compulsion"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.2,"Conspiracy Access Device Issd to Another Who Did Not Auth Use"
"criminal trespass, conspiracy","property","individual","community safety",0.4,"conspiracy",0.3,"Conspiracy Def Tres Actual Communication To"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Fail To Carry Lic"
"other property offense","property","community","financial or economic",0.7,"occured",0.2,"Dec Bus Pract - Adulterated Goods"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.2,"Poss/Sale/Use Display Documents"
"public order offense, other","public order","institutional","community safety",0.3,"occured",0.2,"Violation Of Use Of Certif Of Inspection"
"burglary, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.05,"Conspiracy Burglary - Overnight Accommodation, No Person Present"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.8,"Vehicle Turning Left"
"drug paraphernalia","drug","community","community safety",0.3,"occured",0.1,"No Person Shall Possess, Sell Any Drug Paraphernal"
"armed robbery","violent","individual","physical",0.85,"occured",0.1,"Robbery Of Motor Vehicle"
"child molestation","violent","individual","physical",1,"occured",0,"Rape of Child"
"rape","violent","individual","physical",1,"occured",0,"Rape Forcible Compulsion"
"aggravated assault","violent","individual","physical",0.95,"occured",0.1,"Agg. Ind. Assault - Comp. Less Than 16"
"aggravated assault","violent","individual","physical",0.9,"occured",0.2,"Ind Asslt Person Less 16 Yrs Age"
"forgery/fraud","property","institutional","financial or economic",0.7,"occured",0.2,"Dec Bus Pract - False/Mis State Cred"
"taxation offense","public order","societal","financial or economic",0.7,"occured",0.1,"Fail To Pay Over Taxes To Commonwealth"
"burglary, conspiracy","property","individual","financial or economic",0.4,"conspiracy",0.1,"Conspiracy Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"not known/missing","not known/missing","individual","emotional or psychological",0,"occured",1,"Use Headphones"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 55 MPH In Other Loc By 25 MPH"
"invasion of privacy","public order","individual","privacy",0.6,"occured",0.1,"Invasion of Privacy - transfer image by telephone, email,  internet, etc."
"receiving stolen property, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.2,"Conspiracy Receiving Stolen Property"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 55 MPH In Other Loc By 15 MPH"
"offense against morals/decency","public order","individual","emotional or psychological",1,"occured",0.1,"Child Pornography"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.2,"Obedience to traffic control devices - hazardous condition"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.1,"Fail To Disperse Upon Off'l Order"
"forgery/fraud","property","institutional","financial or economic",0.8,"occured",0.15,"Fraud Alter/Forg/Counter Title Reg Ins"
"public order offense, other","public order","community","community safety",0.1,"occured",0.3,"Prohib. On Expenditures for Emission Inspection"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.2,"Theft By Deception-Fail To Correct"
"driving under the influence of drugs","dui offense","community","community safety",0.8,"occured",0.2,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1-2nd Violation"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed Max Speed Lim Estb By 15 MPH"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.15,"Harassment - Comm. Repeatedly in Anonymous Manner"
